Population par sexe et groupe d'âges en 2024 : effectifs,,,
,,,
Groupe d'âges,Femmes,Hommes,Ensemble
Moins de 15 ans,5688369,5962389,11650758
15-19 ans,2071695,2205823,4277518
20-24 ans,1936824,2024104,3960928
25-29 ans,1897867,1887312,3785179
30-34 ans,2045742,1980053,4025795
35-39 ans,2180469,2065743,4246212
40-44 ans,2220320,2112390,4332710
45-49 ans,2097799,2043531,4141330
50-54 ans,2297423,2241191,4538614
55-59 ans,2267692,2159384,4427076
60-64 ans,2213934,2047909,4261843
65-69 ans,2090365,1840941,3931306
70-74 ans,1998902,1689087,3687989
75 ans ou plus,4248287,2857888,7106175
Ensemble,35255688,33117745,68373433
Note : âge de la population au 1er janvier , données provisoires arrêtées à fin 2023.,,
"Lecture : au 1er janvier 2024, la France compte 5 688 369 femmes et 5 962 389 hommes de moins de 15 ans. ",,,
Champ : France.,,,
"Source : Insee, estimations de population.",,,
